,title,thumbnail,content,company,date
0,양자기술 브레인' 키운다…대학 연합체 '양자대학원' 신설,https://search1.kakaocdn.net/argon/232x160_85_c/8hbhDIjwI5S0,"밖에 뽑지 못하는 현실이 안타깝다. 양자 인력의 수요와 공급을 논의하면 좋겠다""고 했다. 김재완 고등과학원 부원장은 ""20년 전 삼성종합기술원에서 양자 기술을 하자고 했다가 안 돼서 고등과학원으로 옮겼다""며 ""나와 일한 훌륭한 연구원이 있었는데 원하는...",부산일보,2022.10.13.
1,"출범 100일 민선8기 천영기號, 9대 분야 69개 공약사업 확정",https://search3.kakaocdn.net/argon/232x160_85_c/5dVIBHUVvq90,"등 많은 시민과 관광객이 참여한 가운데 최고의 축제로 성황리에 마무리했고, 지역경제 돌파구 마련을 위해 HSG성동조선의 삼성중공업 테라블록 인도식 참석, 물가 폭등으로 어려움에 있는 서민경제 활성화를 도모하고자 통영사랑상품권 구매한도 상향조정, 경제적...",한려투데이,2022.10.13.
2,"[IS 포커스] '명가' 수원, 자존심 상하는 현실.. 첫 강등 위기 몰렸다",https://search2.kakaocdn.net/argon/232x160_85_c/Lu1Ht16xhAn0,대구전 패배 후 아쉬워하는 수원 선수단.(사진=프로축구연맹) ‘전통 명가’ 수원 삼성의 추락이 심상찮다. 구단 역사상 최초로 강등 위협까지 받고 있다. 수원은 12일 강등권 탈출의 발판을 마련할 수 있었던 대구FC전에서 패했다. 승점 6짜리 일전이었으나 소득은...,일간스포츠,2022.10.13.
3,"삼성전자, 미국 샌프란시스코서 ‘삼성 개발자 콘퍼런스 2022’ 개최",https://search1.kakaocdn.net/argon/232x160_85_c/7kN1t8RjrzH0,"[이넷뉴스] 삼성전자가 12일(현지 시각) 미국 샌프란시스코 모스콘 센터(Moscone Center)에서 ‘삼성 개발자 콘퍼런스(Samsung Developer Conference, 이하 SDC) 2022’를 개최했다. 이날 행사는 2019년 이후 3년 만에 오프라인으로 개최됐으며 온라인으로도 생중계...",이넷뉴스,2022.10.13.
4,[WEEKLY BIZ] 우울증에 매년 1400조원 사라진다.. '제2의 팬데믹' 번지는 정신건강,https://search2.kakaocdn.net/argon/232x160_85_c/SHOxeM1sr0,"경우가 늘고 있는 것이다. 이 때문에 국내에서도 일부 대기업을 중심으로 정신 건강 관련 EAP를 운영 중이다. 대표적으로 삼성그룹은 1994년 삼성생활문화센터를 개설해 직원들의 정신 건강 상담을 지원하기 시작했고, 2011년부터는 정신건강의학과 전문의가 상주 중...",조선일보,2022.10.13.
5,양산시청， 전국체육대회 두 종목 우승,https://search1.kakaocdn.net/argon/232x160_85_c/8Jb0KuWVwGv0,환상적인 호흡으로 우승을 거머쥐었다. 16강전에서 채병욱(인천시설공단)-유한나(포스코에너지)， 8강전에서 이상수(삼성생명)-최효주(삼성생명)， 4강전에서 곽유빈(국군체육부대)-정은순(포항시체육회)을 차례로 이기고， 결승전에서 박찬혁(한국마사회)-최지인...,경남매일,2022.10.13.
6,의령서 부자의 사회적 책임 배운다,https://search1.kakaocdn.net/argon/232x160_85_c/Fx9RGuzxB1X0,의령군이 오는 28일부터 30일까지 3일간 국내 유일무이한 부자축제를 개최한다. 탈무드와 삼성그룹 이건희 회장의 말처럼 `부자의 줄`에 서서 부자를 생각한다. 부자들을 탐닉하고 소위 `대박`을 좇는 축제는 아니다. `부자`의 사회적 책임을 강조하고 성공한 사람들...,경남매일,2022.10.13.
7,"[WC1] KIA, '업셋' 실패..올해도 반복된 와일드카드 결정전 '5위 탈락'",https://search4.kakaocdn.net/argon/232x160_85_c/EjB2HRCjXrq0,"이강철 KT 감독도 와일드카드 결정전을 앞두고 가라앉은 팀 분위기를 걱정했다. 이 감독은 ""지난해 우리와 1위 결정전에서 패배한 삼성 라이온즈가 분위기가 처져 결국 플레이오프에서 (2패로) 탈락하지 않았는가. 우리도 그와 비슷한 상황이다. 그래서 주장 박경수...",뉴스1,2022.10.13.
8,"최고 순위·최다 메달…대구경북, 지역 체육 ‘새역사’",,"핀수영 황규진(대구체고 2학년)은 각각 2관왕을 차지했다. 또 테니스 장수정(대구시청), 강나현(경북여고 3학년)과 레슬링 김현우(삼성생명)은 2연패를, 유도 최인혁(대구시청)은 3연패를 달성하며 대구체육을 빛냈다. 박영기 대구체육회장은 “3년만에 정상 개최된...",대구신문,2022.10.13.
9,[휴먼 CEO탐방] “대한민국 산업현장 안전 우리가 책임집니다”,https://search3.kakaocdn.net/argon/232x160_85_c/GfMrW99tlV60,"쓸고 다녔다. 난로 문화를 바꾸었다.△일을 시작하던 35년 전, 우리나라에 일본·미국 가정용 청소기가 선보이던 시절이었다. 아직 삼성·LG에서 청소용 제품을 만들기 전이었다. 가정용 청소용품도 생소하던 시절에 공장에다 산업용 청소 장비를 팔겠다고...",대구신문,2022.10.13.
10,"PS는 맡겨라, KT의 가을 이끄는 '빅게임 피처' 소형준",https://search4.kakaocdn.net/argon/232x160_85_c/KKVEaCOtv9G0,"정규시즌 최종전에서 패하며 자칫 분위기가 가라앉을 수 있는 상황이었다. 이강철 감독 역시 지난해 타이브레이커 상대였던 삼성을 언급하며 ""선수단 분위기가 가장 중요하다""고 털어놓았을 정도. 만약 이날 1차전을 내줬다면 2차전 승리를 장담할 수 없었다. KIA는...",뉴스엔,2022.10.13.
11,나스타에게 가혹한 밤..150억원 효자가 '가장 중요한' 하루를 망쳤다[WC],https://search2.kakaocdn.net/argon/232x160_85_c/9I0UBvLUArE0,"출전, 타율 0.320 21홈런 97타점 92득점 OPS 0.910 득점권타율 0.316. 타격 5관왕의 이정후(키움)와 최고 외국인타자 호세 피렐라(삼성) 다음 가는 리그 최고 타자였다. 2년 연속 전 경기에 건강하게 나서며 내구성과 최강의 생산력을 동시에 과시하며 ‘FA 쇼핑은 S...",마이데일리,2022.10.13.
12,[박상기 칼럼] 동맹 대한민국을 농락하는 바이든의 외교협상 꼼수,https://search2.kakaocdn.net/argon/232x160_85_c/2ZkI4ykKDpk0,인 것으로 드러났다. 그런데 참 의외다. 그렇게 오래 외교위원장을 역임한 양반이 어떻게 외교협상을 이토록 단순하게 볼 수 있을까? 삼성전자와 현대자동차의 수백조에 달하는 역대 급 미국 현지 투자를 약속 받고 “감사합니다”를 연발하며 “결코 실망시키지...,폴리뉴스,2022.10.13.
13,"코스피, 기관 매도에 하락 마감…SK하이닉스, 기아 상승 VS LG화학, 삼성SDI, 네이버 하락",https://search2.kakaocdn.net/argon/232x160_85_c/FGbTCLZUmEw0,"시가총액 상위 10개 종목은 SK하이닉스(0.96%), 기아(0.15%), 셀트리온(0.30%)을 제외하고 하락 마감했다. LG화학(-2.71%), 삼성SDI(-2.30%), NAVER(-2.16%), 현대차(-2.08%), 삼성바이오로직스(-1.59%), LG에너지솔루션(-1.24%), 삼성전자(-1.08%) 등이 하락 마감했다.",이코노뉴스,2022.10.13.
14,"[공매도 TOP 10 종목] 코스피, 대한전선 공매도 1위…SK하이닉스-대한항공-카카오뱅크-삼성전자 등 순위 올라",https://search2.kakaocdn.net/argon/232x160_85_c/FGbTCLZUmEw0,"대한전선은 전날 10위에서 1위로 올라섰다. 이어 SK하이닉스(99만8321주), 대한항공(87만3059주), 카카오뱅크(79만8008주), 삼성전자(69만6328주), 메리츠증권(57만2604주), 삼성중공업(56만8025주), HMM(40만1071주), LG디스플레이(30만8478주), 카카오(29만6427...",이코노뉴스,2022.10.13.
15,"[단독]이재용, LG아트센터 개관 첫날 어머니와 조성진 공연 관람",https://search1.kakaocdn.net/argon/232x160_85_c/1n3GP8i2I890,이재용 삼성전자 부회장이 개관 첫날을 맞은 LG아트센터를 찾아 어머니 홍라희 전 리움미술관장과 함께 피아니스트 조성진 공연을 관람했다. LG아트센터는 세계적인 건축가 안도 다다오가 디자인한 건물로 이 부회장은 건축물을 크게 한 바퀴 둘러보며 큰 관심을...,동아일보,2022.10.13.
16,"美 에너지부, K배터리 3사 만나 IRA 의견 청취",,"인플레이션 대응법(IRA)과 관련된 의견을 들은 것으로 전해졌다. 13일 관련 업계에 따르면 미 에너지부 실무진은 LG에너지솔루션, 삼성SDI, SK온 등 국내 배터리 3사와 각각 면담하기 위해 한국을 방문했다. 각 업체 임원들은 에너지부 관계자들에게 IRA 시행을...",파이낸셜뉴스,2022.10.13.
17,"창원시, 베트남 호치민에 무역사절단 파견",https://search3.kakaocdn.net/argon/232x160_85_c/1znrMlJTxUh0,"귀국할 예정이다. 베트남은 중국 대비 저렴한 인건비와 각종 개혁개방정책으로 글로벌 기업들의 공장을 유치하고 있다. 이미 삼성전자, 애플의 최대 파운드리 업체인 폭스콘, 캐논, 파나소닉 등 다수의 기업이 베트남 시장에 진출해 있으며 샤오미, 구글도 베트남...",프레시안,2022.10.13.
18,소수점 거래 스타트 끊었는데..하락장에 '시큰둥',https://search2.kakaocdn.net/argon/232x160_85_c/IxvkM36UZl80,들어 1주에 100만원 하는 주식을 1만원어치만 사겠다고 하면 증권사는 고객 계좌에 해당 주식 0.001주를 넣어준다. 5만원이 넘는 삼성전자 주식을 100원어치만 살 수도 있다. 모든 증권사에서 가능한 건 아니다. 규제샌드박스를 통해 혁신금융서비스 지정으로 ‘국내...,매경이코노미,2022.10.13.
19,"투자 혹한기, 역발상 생존 전략은",https://search4.kakaocdn.net/argon/232x160_85_c/IgRACEjqh3F0,"구조적 성장에 따른 수혜가 기대된다. 울프스피드는 SiC(실리콘 카바이드), 차세대 반도체 시장 개화 수혜가 기대된다. 국내에서는 삼성전자와 SK하이닉스를 두고 ‘나올 만한 악재는 다 나왔다’는 진단이 지배적이다. 현재 삼성전자 주가 수준은 주가순자산비율...",매경이코노미,2022.10.13.
20,[미리 보는 이데일리 신문] 불어난 빚 못갚겠다 하루 370명 법원행,,"매란국죽 대신 새우라니 평범해서 더 비범하더라 △증권 -속타는 코스피…외인은 조용히 담배를 태웠다 -삼전 새 감사인 삼일·삼성 2파전 -신라젠 29개월 만에 거래…개미 사고, 기관 팔았다 -“5G 통신반도체 미국 수출 글로벌 반도체 톱30 될 것” -서학개미 힘...",이데일리,2022.10.13.
21,"대구선수단, 전국체전 '종합 6위' 역대 최고 성적표",https://search3.kakaocdn.net/argon/232x160_85_c/Ax1YFqx93HZ0,"3년), 핀수영 황규진(대구체고2년)은 각각 2관왕을 차지했다.테니스 장수정(대구시청)과 강나현(경북여고3년), 레슬링 김현우(삼성생명)가 각각 2연패를 이뤄냈다.유도 최인혁(대구시청)도 3연패에 성공하는 등 기대에 부응했다.반면 기초종목인 수영·체조·역도와...",경북일보,2022.10.13.
22,"경찰, '재건축 비리 의혹' 대우건설 강남지사 압수수색",https://search3.kakaocdn.net/argon/232x160_85_c/8YUZvojZqwd0,"대우건설은 흑석2구역에서 입찰 마감 전 조합에 하이엔드 브랜드 '써밋' 적용을 약속, 강력한 수주 의지를 피력했다. 상당기간 삼성물산과 물밑 경쟁을 펼친 바 있다. 하지만 불법 홍보에 의한 경고 누적과 추가로 금품, 향응 제공 혐의로 일부 조합원에 적발돼...",코리아포스트,2022.10.13.
23,삼성디스플레이 2050 탄소중립 및 RE100 선언에 그린피스 환영?,,"그린피스는 삼성디스플레이가 발표한 ‘환경경영전략’에 대해 온실가스 다(多)배출기업의 2050년 탄소중립과 RE100 달성 목표 수립을 환영하지만, 기후위기 대응의 시급성과 심각성에 비해 매우 미흡한 계획이라고 평가했다. 양연호 그린피스 기후에너지 캠페이너는...",소비자를위한신문,2022.10.13.
24,삼성전자·SK하이닉스 이어 대만 TSMC도 美 반도체 규제 유예,https://search1.kakaocdn.net/argon/232x160_85_c/4pf79GkzuXn0,삼성전자와 SK하이닉스에 이어 세계 1위 반도체 위탁생산(파운드리) 업체인 대만 TSMC도 미국 정부의 규제 적용을 유예 받았다고 일본 영문매체 닛케이아시아가 13일 보도했다. 이에 따라 TSMC 역시 향후 1년 동안은 중국 난징 소재 공장에 미국산 장비를 반입할 수...,조선비즈,2022.10.13.
25,"2022 3차 K리그 ‘팬 프렌들리 클럽상’, 13일부터 팬 투표 시작",https://search2.kakaocdn.net/argon/232x160_85_c/5RPs07Ehyh80,"클럽송 ‘우리의 서울’을 공개한 FC서울, ▲운동과 친환경(ESG) 요소가 합쳐진 참여형 이벤트 ‘런성 히어로’를 진행한 수원삼성이 후보에 올랐다.K리그2는 ▲지역, 팬, 후원사, 구단을 하나로 잇는 ‘홈경기 브랜드데이’를 선보인 대전하나시티즌, ▲구단 사회...",디오데오 뉴스,2022.10.13.
26,"조태용 주미대사 ""미국과 IRA 몇 가지 해법 논의 중..'한국식 핵공유' 검토 단계 아니다""",https://search1.kakaocdn.net/argon/232x160_85_c/AaAPw2lLHgB0,지적하자 “법 조문을 바꿀 수는 없지만 법안 범위 내에서 탄력적으로 운용할 수 있는 부분이 있다”고 했다. 조 대사는 미국이 삼성전자와 SK하이닉스 중국 공장에 반도체 장비 수출통제 조치 적용을 1년 유예하기로 한 것에 대해선 “삼성과 SK의 현재 생산 수준과...,경향신문,2022.10.13.
27,평택석정공원 화성파크드림 오는 14일 '그랜드 오픈',https://search1.kakaocdn.net/argon/232x160_85_c/IPmcYVdNrX50,"보다 건강하고 쾌적한 실내환경을 갖췄다. 부동산 전문가는 “평택석정공원 화성파크드림이 고덕국제신도시와 평택브레인시티, 삼성전자 평택캠퍼스를 잇는 골든 트라이앵글의 중심에 위치하고 역세권과 자연공원을 가진 1296세대의 친환경 주거단지로 미래 비전과...",미디어연합,2022.10.13.
28,[뭐라노]카카오 '패닉',https://search4.kakaocdn.net/argon/232x160_85_c/mFuOlkT4hU0,성장주인 카카오 계열 4개 상장사(카카오·카카오뱅크·카카오페이·카카오게임즈) 의 시가총액은 올해 들어 72조 원 가까이 증발. 삼성전자나 네이버 주가도 처참합니다. 아파트 매매가 하락 폭도 큰데요. 한국부동산원에 따르면 지난 10일 기준 서울 아파트값은...,국제신문,2022.10.13.
