,title,thumbnail,content,company,date
0,"“선물 대신 편지만” 유재석, 팬 선물 안 받기로 한 이유?",https://search3.kakaocdn.net/argon/232x160_85_c/AoOyxep8Rat0,"개그맨 유재석이 팬들의 선물을 정중히 사양하겠다는 입장을 밝혔다. 6일 소속사 안테나는 ""유재석을 응원해주시는 모든 분께 감사드리며 한가지 양해의 말씀을 드리려 한다. 그동안 보내주신 편지와 선물, 그것을 준비하기까지의 정성 어린 시간과 마음 모두 항상...",여성조선,2022.10.07
1,"유재석, 팬들 선물은 'NO'..""편지만 받을께요""",https://search1.kakaocdn.net/argon/232x160_85_c/3lTAz5cMQt70,"유재석.[osen] [헤럴드경제=이명수 기자] 개그맨 유재석이 팬들의 선물을 정중히 사양하겠다는 입장을 밝혔다. 소속사 안테나는 6일 ""유재석을 응원해주시는 모든 분께 감사드리며 한가지 양해의 말씀을 드리려 한다. 그동안 보내주신 편지와 선물, 그것을 준비하기...",헤럴드경제,2022.10.07
2,"유재석, 팬 선물 정중히 사양.. 안테나 향한 볼멘소리 속출",https://search2.kakaocdn.net/argon/232x160_85_c/CUtd6h191JZ0,유재석 유재석이 팬들의 선물을 정중하게 사양했다. 소속사 안테나는 6일 공식 인스타그램에 '유재석의 활동을 응원해주는 모든 분들에게 감사드린다. 팬 여러분에게 한 가지 양해의 말씀들 드리고자 한다'고 시작하는 장문의 글을 게재했다. 이어 '그동안 보내주신...,JTBC,2022.10.07
3,"유재석, 역시 국민 MC…팬들 선물 거절한 이유 “마음 담긴 편지면 충분”",https://search2.kakaocdn.net/argon/232x160_85_c/8pgQwrUy5HP0,"‘국민 MC’ 유재석이 선물 대신 편지로만 마음을 받겠다고 전했다. 6일 유재석의 소속사 안테나뮤직은 공식 SNS를 통해 “늘 유재석님의 활동을 응원해주시는 모든 분들께 감사드리며, 팬 여러분께 한 가지 양해의 말씀을 드리고자 한다”라며 선물 관련 공지를...",이투데이,2022.10.07
4,"유재석 ""끝까지 간다"" → 예측불허 강원도 여행기 (런닝맨)",https://search1.kakaocdn.net/argon/232x160_85_c/Ld8o8dwyVNl0,"[동아닷컴] 오는 9일 방송되는 SBS ‘런닝맨’에서는 ‘불나방’ 유재석의 반전 강원도 여행기가 공개된다. 지난주 방송된 ‘GO, STOP’ 여행 레이스는 ‘역시 런닝맨은 액티비티 해야 재밌다’, ‘여행 자체가 힐링된다’ 등 각종 포털사이트에서 뜨거운 반응을...",스포츠동아,2022.10.07
5,"‘런닝맨’ 유재석, 예측불허 강원도 여행기 공개",https://search2.kakaocdn.net/argon/232x160_85_c/H5vuXMZS1MZ0,"[스타데일리뉴스=황규준 기자] 9일(일) 방송되는 SBS `런닝맨`에서는 `불나방` 유재석의 반전 강원도 여행기가 공개된다.지난주 방송된 `GO, STOP` 여행 레이스는 `역시 런닝맨은 액티비티 해야 재밌다`, `여행 자체가 힐링된다` 등 각종 포털사이트에서 뜨거운 반응...",스타데일리뉴스 ,2022.10.07
6,‘런닝맨’ 유재석 “끝까지 간다” 퇴근을 향한 강원도 GO‧STOP 레이스,https://search4.kakaocdn.net/argon/232x160_85_c/I9JcigK4ro40,"9일(일) 방송되는 SBS ‘런닝맨’에서는 ‘불나방’ 유재석의 반전 강원도 여행기가 공개된다. 지난주 방송된 ‘GO, STOP’ 여행 레이스는 ‘역시 런닝맨은 액티비티 해야 재밌다’, ‘여행 자체가 힐링된다’ 등 각종 포털사이트에서 뜨거운 반응을 모은바 있다. 뿐...",뉴스인사이드,2022.10.07
7,"이지혜, 채정안 생일에 '돈벼락' 플렉스..""줍는만큼 가져가기"" [종합]",https://search2.kakaocdn.net/argon/232x160_85_c/LmEG1J8Yrm40,"반찬을 선물하겠다고 전했다. 이어 이지혜는 채정안을 위한 음식을 만들기 위해 부엌으로 향하며, 최근 이사한 것을 언급했다. 그는 ""유재석 오빠랑 아파트 같은 라인 살면서 기운을 받았는데, 사실 여기 라인 바뀌고 나서 감이 좀 떨어졌다""며 ""카메라 도니까...",엑스포츠뉴스,2022.10.07
8,"'위기의 GO맨' 유재석 ""끝까지 간다"" 반전 운명 맞을까 [런닝맨]",https://search3.kakaocdn.net/argon/232x160_85_c/3vq3tY380TA0,"[스타뉴스 윤성열 기자] /사진제공=SBS '런닝맨'에서 유재석이 퇴근을 향한 의지를 드러낸다. 7일 SBS에 따르면 오는 9일 방송되는 SBS 예능 프로그램 '런닝맨'에서는 유재석의 강원도 여행기가 공개된다. 지난주 방송은 'GO, STOP' 여행 레이스로 꾸며졌다. 유재석...",스타뉴스,2022.10.07
9,"""끝까지 간다!"" 유재석, 불운의 아이콘 부른 직진 본능 ('런닝맨')",https://search1.kakaocdn.net/argon/232x160_85_c/2PAqjhvQvBg0,"[OSEN=연휘선 기자] '런닝맨'에서 유재석이 불운의 아이콘 이미지 수복에 도전한다. 9일 방송되는 SBS 예능 프로그램 ‘런닝맨’에서는 ‘불나방’ 유재석의 반전 강원도 여행기가 공개된다. 지난주 방송된 ‘GO, STOP’ 여행 레이스는 ""역시 런닝맨은 액티비티 해야...",OSEN,2022.10.07
10,"""유재석이 운이 좋은데.."" 강원도 여행기, 반전 맞이할까 ('런닝맨')",https://search3.kakaocdn.net/argon/232x160_85_c/9kAIM7Psbmz0,"[마이데일리 = 오윤주 기자] SBS '런닝맨' 유재석의 반전 강원도 여행기가 그려진다. 오는 9일 방송되는 '런닝맨'에서는 '불나방' 유재석의 여행이 이어진다. 지난주 방송된 'GO, STOP' 여행 레이스는 멤버들의 선택에 따라 예측불허한 여행 코스가 정해져 재미를...",마이데일리,2022.10.07
11,"'불운 아이콘' 유재석 ""끝까지 간다"" 의미심장 (런닝맨)",https://search4.kakaocdn.net/argon/232x160_85_c/IiTXOq1el810,"(엑스포츠뉴스 이예진 인턴기자) '런닝맨' 유재석이 예측불허 강원도 여행기를 전한다. 9일 방송되는 SBS 예능 프로그램 '런닝맨'에서는 '불나방' 유재석의 반전 강원도 여행기가 공개된다. 앞서 'GO, STOP' 여행 레이스는 '역시 런닝맨은 액티비티 해야 재밌다...",엑스포츠뉴스,2022.10.07
12,"'불운의 아이콘' 떠오른 유재석, 반전 운명 맞을까(런닝맨)",https://search4.kakaocdn.net/argon/232x160_85_c/zQXqtkfWx00,"[뉴스엔 박수인 기자] '불운의 아이콘'으로 떠오른 유재석이 어떤 여행을 즐기게 될까. 10월 9일 방송되는 SBS ‘런닝맨’에서는 유재석, 지석진의 ‘GO, STOP’ 레이스 결말이 공개된다. 멤버들은 좋아하는 칼퇴근 혹은 귀찮음과 분량의 정점을 찍을 벌칙 코스를...",뉴스엔,2022.10.07
13,"'런닝맨' 유재석, 예측불허 강원도 여행기 공개",https://search3.kakaocdn.net/argon/232x160_85_c/IMzsxo0uOyD0,"9일 오후 4시50분 방송되는 SBS 예능 ‘런닝맨’에서는 ‘불나방’ 유재석의 반전 강원도 여행기가 공개된다. 지난주 방송된 ‘GO, STOP’ 여행 레이스는 ‘역시 런닝맨은 액티비티 해야 재밌다’, ‘여행 자체가 힐링된다’ 등 각종 포털사이트에서 뜨거운 반응을...",싱글리스트,2022.10.07
14,"[SC초점] 유재석, 주소공개 강수까지..팬 지침 갑론을박",https://search1.kakaocdn.net/argon/232x160_85_c/HwKRvkmLwT40,"[스포츠조선 백지은 기자] 개그맨 유재석이 팬들의 선물을 정중히 사양하겠다는 입장을 밝혔다. 소속사 안테나는 6일 ""유재석을 응원해주시는 모든 분께 감사드리며 한가지 양해의 말씀을 드리려 한다. 그동안 보내주신 편지와 선물, 그것을 준비하기까지의 정성어린...",스포츠조선,2022.10.07
15,트로트 가수 행사비 순위요? ... 이거 보고 정말 깜짝 놀랐습니다 (+TOP10 공개),https://search3.kakaocdn.net/argon/232x160_85_c/4PFuNMAX7ND0,"회당 1700만원, 박군은 회당 1000만원~1200만원, 양지은은 회당 1700만원~2300만원이라고 전해졌다. 이진호는 ""나훈아, 임영웅, 유재석을 빼고 실질적으로 행사를 하는 가수들을 놓고 봤을 때 1위 김호중, 2위 송가인, 3위 영탁, 4위 장윤정, 이찬원 정도가 될 것...",위키트리,2022.10.07
16,"안테나 측 ""유재석, 응원 편지만 부탁""..팬 선물 거절에 갑론을박 [엑's 이슈]",https://search1.kakaocdn.net/argon/232x160_85_c/GRdwhaNpdPN0,"(엑스포츠뉴스 이창규 기자) '국민 MC' 유재석이 팬들의 선물을 정중하게 사양하며 미담을 만들었다. 지난 6일 유재석의 소속사 안테나뮤직은 공식 SNS를 통해 ""늘 유재석님의 활동을 응원해주시는 모든 분들께 감사드리며, 팬 여러분께 한 가지 양해의 말씀을...",엑스포츠뉴스,2022.10.07
17,파퀴아오 '아는 형님' 출연[공식],https://search1.kakaocdn.net/argon/232x160_85_c/IvrmDzIyy5n0,에도 출연을 확정했다.파퀴아오는 지난 2018년 MBC 예능 프로그램 ‘무한도전’에 출연해 이미 한 차례 유재석과 호흡을 맞췄다. ‘런닝맨’에서 유재석과 또 어떤 케미를 보여줄지 관심이 집중되고 있다. 파퀴아오는 다양한 예능 활동으로 많은 한국 팬들에게 웃음...,스포츠경향,2022.10.07
18,"'놀면뭐하니' 유재석, 이이경 열정과다에 ""돌아이 아냐? 노홍철도 이렇게 안해"" 무슨일?",https://search4.kakaocdn.net/argon/232x160_85_c/lxGiNr1YQn0,"'놀면 뭐하니?' 이이경, 박진주가 JMT 면접을 보는 가운데, 열정과다와 킹받는 매력으로 유재석을 사로잡는다. 8일 MBC 예능 '놀면 뭐하니?'에서는 유재석 본부장과 팀원들의 '겁나 겁나 겁날 게 없는' JMT(Joy&Music Technology) 회사 생활이 공개된다. 그 중 유...",뉴스인사이드,2022.10.07
19,"'놀뭐' 이이경·박진주, JMT 면접장 포착..유재석 ""돌아이 아냐?",https://search2.kakaocdn.net/argon/232x160_85_c/9gQNRHLAi360,"면접을 본다. 오는 8일 방송될 MBC 예능 ‘놀면 뭐하니?’ (연출 박창훈, 김진용, 장우성, 왕종석, 신현빈/작가 최혜정)에서는 유재석 본부장과 팀원들의 ‘겁나 겁나 겁날 게 없는’ JMT(Joy&Music Technology) 회사 생활을 공개한다. 그중 유 본부장은 JMT의...",이데일리,2022.10.07
